SEX,STATUS,QUALIFICATIONS,EMPLOYER,LEVEL
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
M,F,F,F,F
X,F,F,F,F
X,F,F,F,F
X,F,F,F,F
X,F,F,F,F
X,F,F,F,F
X,F,F,F,F
X,F,F,F,F
X,F,F,F,F
X,F,F,F,F
X,F,F,F,F
X,F,F,F,F
X,F,F,F,F
X,F,F,F,F
X,F,F,F,F
X,F,F,F,F
X,F,F,F,F
X,F,F,F,F
X,F,F,F,F
F,F,F,I,F
F,F,F,I,F
F,F,F,I,F
F,F,F,I,F
F,F,F,I,F
F,F,F,I,F
F,F,F,I,F
F,F,F,I,F
F,F,F,I,F
F,F,F,I,F
F,F,F,I,F
F,F,F,I,F
F,F,F,I,F
F,F,F,I,F
F,F,F,I,F
F,F,F,I,F
M,F,F,I,F
M,F,F,I,F
M,F,F,I,F
M,F,F,I,F
M,F,F,I,F
M,F,F,I,F
M,F,F,I,F
M,F,F,I,F
M,F,F,I,F
M,F,F,I,F
M,F,F,I,F
M,F,F,I,F
M,F,F,I,F
F,F,F,L,F
F,F,F,L,F
F,F,F,L,F
F,F,F,L,F
F,F,F,L,F
F,F,F,L,F
F,F,F,L,F
F,F,F,L,F
F,F,F,L,F
F,F,F,L,F
F,F,F,L,F
F,F,F,L,F
F,F,F,L,F
F,F,F,L,F
M,F,F,L,F
M,F,F,L,F
M,F,F,L,F
M,F,F,L,F
M,F,F,L,F
M,F,F,L,F
M,F,F,L,F
F,F,F,N,F
F,F,F,N,F
M,F,F,N,F
M,F,F,N,F
M,F,F,N,F
M,F,F,N,F
F,F,F,O,F
F,F,F,O,F
F,F,F,O,F
F,F,F,O,F
F,F,F,O,F
F,F,F,O,F
F,F,F,O,F
F,F,F,O,F
F,F,F,O,F
F,F,F,O,F
F,F,F,O,F
F,F,F,O,F
F,F,F,O,F
F,F,F,O,F
F,F,F,O,F
F,F,F,O,F
F,F,F,O,F
F,F,F,O,F
F,F,F,O,F
F,F,F,O,F
M,F,F,O,F
M,F,F,O,F
M,F,F,O,F
M,F,F,O,F
M,F,F,O,F
F,F,F,,F
F,F,F,,F
F,F,F,,F
F,F,F,,F
F,F,F,,F
F,F,F,,F
F,F,F,,F
F,F,F,,F
F,F,F,,F
F,F,F,,F
F,F,F,,F
F,F,F,,F
F,F,F,,F
F,F,F,,F
F,F,F,,F
F,F,F,,F
F,F,F,,F
F,F,F,,F
F,F,F,,F
F,F,F,,F
F,F,F,,F
F,F,F,,F
F,F,F,,F
F,F,F,,F
F,F,F,,F
F,F,F,,F
F,F,F,,F
F,F,F,,F
F,F,F,,F
F,F,F,,F
F,F,F,,F
F,F,F,,F
F,F,F,,F
F,F,F,,F
F,F,F,,F
F,F,F,,F
F,F,F,,F
F,F,F,,F
F,F,F,,F
F,F,F,,F
F,F,F,,F
F,F,F,,F
F,F,F,,F
F,F,F,,F
F,F,F,,F
F,F,F,,F
F,F,F,,F
F,F,F,,F
F,F,F,,F
F,F,F,,F
M,F,F,,F
M,F,F,,F
M,F,F,,F
M,F,F,,F
M,F,F,,F
M,F,F,,F
M,F,F,,F
M,F,F,,F
M,F,F,,F
M,F,F,,F
M,F,F,,F
M,F,F,,F
M,F,F,,F
M,F,F,,F
M,F,F,,F
M,F,F,,F
M,F,F,,F
M,F,F,,F
M,F,F,,F
M,F,F,,F
M,F,F,,F
M,F,F,,F
M,F,F,,F
M,F,F,,F
M,F,F,,F
M,F,F,,F
M,F,F,,F
F,F,"3-18 ASN, 3-18 DANCE, F",I,M
F,F,"3-18 ASN, CROSS-SECTOR PRI - SEC PE, P",O,M
F,F,"3-18 ASN, F",F,M
M,F,"3-18 ASN, F",F,M
F,F,"3-18 ASN, F",I,M
F,F,"3-18 ASN, F",I,M
F,F,"3-18 ASN, F",I,M
F,F,"3-18 ASN, F",I,M
F,F,"3-18 ASN, F",I,M
F,F,"3-18 ASN, F",I,M
F,F,"3-18 ASN, F",I,M
F,F,"3-18 ASN, F",I,M
M,F,"3-18 ASN, F",I,M
M,F,"3-18 ASN, F",I,M
F,F,"3-18 ASN, F",L,M
F,F,"3-18 ASN, F",L,M
F,F,"3-18 ASN, F",L,M
F,F,"3-18 ASN, F",L,M
F,F,"3-18 ASN, F",L,M
F,F,"3-18 ASN, F",L,M
F,F,"3-18 ASN, F",L,M
F,F,"3-18 ASN, F",L,M
F,F,"3-18 ASN, F",L,M
F,F,"3-18 ASN, F",L,M
F,F,"3-18 ASN, F",L,M
M,F,"3-18 ASN, F",L,M
F,F,"3-18 ASN, F",O,M
F,F,"3-18 ASN, F",O,M
F,F,"3-18 ASN, F",O,M
M,F,"3-18 ASN, F",O,M
F,F,"3-18 ASN, F",,M
F,F,"3-18 ASN, F",,M
F,F,"3-18 ASN, F",,M
M,F,"3-18 ASN, F",,M
F,F,"3-18 ASN, F, P",F,M
F,F,"3-18 ASN, F, P",F,M
M,F,"3-18 ASN, F, P",F,M
F,F,"3-18 ASN, F, P",L,M
F,F,"3-18 ASN, F, S PSYCHOLOGY",L,M
M,F,"3-18 ASN, F, S SSEN",L,M
F,F,"3-18 ASN, P",F,M
M,F,"3-18 ASN, P",F,M
F,F,"3-18 ASN, P",I,M
F,F,"3-18 ASN, P",I,M
F,F,"3-18 ASN, P",I,M
F,F,"3-18 ASN, P",I,M
F,F,"3-18 ASN, P",I,M
F,F,"3-18 ASN, P",I,M
F,F,"3-18 ASN, P",I,M
F,F,"3-18 ASN, P",I,M
F,F,"3-18 ASN, P",I,M
F,F,"3-18 ASN, P",I,M
F,F,"3-18 ASN, P",I,M
F,F,"3-18 ASN, P",I,M
M,F,"3-18 ASN, P",I,M
M,F,"3-18 ASN, P",I,M
M,F,"3-18 ASN, P",I,M
F,F,"3-18 ASN, P",L,M
F,F,"3-18 ASN, P",L,M
F,F,"3-18 ASN, P",L,M
F,F,"3-18 ASN, P",L,M
F,F,"3-18 ASN, P",L,M
F,F,"3-18 ASN, P",L,M
F,F,"3-18 ASN, P",L,M
F,F,"3-18 ASN, P",L,M
F,F,"3-18 ASN, P",L,M
F,F,"3-18 ASN, P",L,M
F,F,"3-18 ASN, P",L,M
F,F,"3-18 ASN, P",L,M
F,F,"3-18 ASN, P",L,M
F,F,"3-18 ASN, P",L,M
F,F,"3-18 ASN, P",L,M
F,F,"3-18 ASN, P",L,M
F,F,"3-18 ASN, P",L,M
F,F,"3-18 ASN, P",L,M
F,F,"3-18 ASN, P",L,M
F,F,"3-18 ASN, P",L,M
F,F,"3-18 ASN, P",L,M
F,F,"3-18 ASN, P",L,M
F,F,"3-18 ASN, P",L,M
F,F,"3-18 ASN, P",L,M
F,F,"3-18 ASN, P",L,M
F,F,"3-18 ASN, P",L,M
F,F,"3-18 ASN, P",L,M
F,F,"3-18 ASN, P",L,M
F,F,"3-18 ASN, P",L,M
F,F,"3-18 ASN, P",L,M
F,F,"3-18 ASN, P",L,M
F,F,"3-18 ASN, P",L,M
F,F,"3-18 ASN, P",L,M
F,F,"3-18 ASN, P",L,M
F,F,"3-18 ASN, P",L,M
F,F,"3-18 ASN, P",L,M
F,F,"3-18 ASN, P",L,M
F,F,"3-18 ASN, P",L,M
F,F,"3-18 ASN, P",L,M
F,F,"3-18 ASN, P",L,M
F,F,"3-18 ASN, P",L,M
F,F,"3-18 ASN, P",L,M
F,F,"3-18 ASN, P",L,M
F,F,"3-18 ASN, P",L,M
F,F,"3-18 ASN, P",L,M
F,F,"3-18 ASN, P",L,M
F,F,"3-18 ASN, P",L,M
F,F,"3-18 ASN, P",L,M
F,F,"3-18 ASN, P",L,M
F,F,"3-18 ASN, P",L,M
F,F,"3-18 ASN, P",L,M
F,F,"3-18 ASN, P",L,M
F,F,"3-18 ASN, P",L,M
F,F,"3-18 ASN, P",L,M
F,F,"3-18 ASN, P",L,M
F,F,"3-18 ASN, P",L,M
F,F,"3-18 ASN, P",L,M
F,F,"3-18 ASN, P",L,M
F,F,"3-18 ASN, P",L,M
F,F,"3-18 ASN, P",L,M
F,F,"3-18 ASN, P",L,M
F,F,"3-18 ASN, P",L,M
F,F,"3-18 ASN, P",L,M
F,F,"3-18 ASN, P",L,M
F,F,"3-18 ASN, P",L,M
F,F,"3-18 ASN, P",L,M
F,F,"3-18 ASN, P",L,M
F,F,"3-18 ASN, P",L,M
F,F,"3-18 ASN, P",L,M
F,F,"3-18 ASN, P",L,M
F,F,"3-18 ASN, P",L,M
F,F,"3-18 ASN, P",L,M
F,F,"3-18 ASN, P",L,M
F,F,"3-18 ASN, P",L,M
F,F,"3-18 ASN, P",L,M
F,F,"3-18 ASN, P",L,M
F,F,"3-18 ASN, P",L,M
F,F,"3-18 ASN, P",L,M
F,F,"3-18 ASN, P",L,M
F,F,"3-18 ASN, P",L,M
F,F,"3-18 ASN, P",L,M
F,F,"3-18 ASN, P",L,M
F,F,"3-18 ASN, P",L,M
F,F,"3-18 ASN, P",L,M
F,F,"3-18 ASN, P",L,M
F,F,"3-18 ASN, P",L,M
F,F,"3-18 ASN, P",L,M
F,F,"3-18 ASN, P",L,M
F,F,"3-18 ASN, P",L,M
F,F,"3-18 ASN, P",L,M
F,F,"3-18 ASN, P",L,M
F,F,"3-18 ASN, P",L,M
F,F,"3-18 ASN, P",L,M
F,F,"3-18 ASN, P",L,M
F,F,"3-18 ASN, P",L,M
F,F,"3-18 ASN, P",L,M
F,F,"3-18 ASN, P",L,M
F,F,"3-18 ASN, P",L,M
F,F,"3-18 ASN, P",L,M
F,F,"3-18 ASN, P",L,M
F,F,"3-18 ASN, P",L,M
F,F,"3-18 ASN, P",L,M
F,F,"3-18 ASN, P",L,M
F,F,"3-18 ASN, P",L,M
F,F,"3-18 ASN, P",L,M
F,F,"3-18 ASN, P",L,M
F,F,"3-18 ASN, P",L,M
F,F,"3-18 ASN, P",L,M
F,F,"3-18 ASN, P",L,M
F,F,"3-18 ASN, P",L,M
F,F,"3-18 ASN, P",L,M
F,F,"3-18 ASN, P",L,M
F,F,"3-18 ASN, P",L,M
F,F,"3-18 ASN, P",L,M
F,F,"3-18 ASN, P",L,M
F,F,"3-18 ASN, P",L,M
F,F,"3-18 ASN, P",L,M
F,F,"3-18 ASN, P",L,M
F,F,"3-18 ASN, P",L,M
F,F,"3-18 ASN, P",L,M
F,F,"3-18 ASN, P",L,M
F,F,"3-18 ASN, P",L,M
F,F,"3-18 ASN, P",L,M
F,F,"3-18 ASN, P",L,M
F,F,"3-18 ASN, P",L,M
F,F,"3-18 ASN, P",L,M
F,F,"3-18 ASN, P",L,M
F,F,"3-18 ASN, P",L,M
F,F,"3-18 ASN, P",L,M
F,F,"3-18 ASN, P",L,M
F,F,"3-18 ASN, P",L,M
F,F,"3-18 ASN, P",L,M
F,F,"3-18 ASN, P",L,M
F,F,"3-18 ASN, P",L,M
F,F,"3-18 ASN, P",L,M
F,F,"3-18 ASN, P",L,M
F,F,"3-18 ASN, P",L,M
F,F,"3-18 ASN, P",L,M
F,F,"3-18 ASN, P",L,M
F,F,"3-18 ASN, P",L,M
F,F,"3-18 ASN, P",L,M
M,F,"3-18 ASN, P",L,M
M,F,"3-18 ASN, P",L,M
M,F,"3-18 ASN, P",L,M
M,F,"3-18 ASN, P",L,M
M,F,"3-18 ASN, P",L,M
M,F,"3-18 ASN, P",L,M
M,F,"3-18 ASN, P",L,M
M,F,"3-18 ASN, P",L,M
M,F,"3-18 ASN, P",L,M
M,F,"3-18 ASN, P",L,M
F,F,"3-18 ASN, P",N,M
F,F,"3-18 ASN, P",O,M
F,F,"3-18 ASN, P",O,M
F,F,"3-18 ASN, P",O,M
F,F,"3-18 ASN, P",O,M
F,F,"3-18 ASN, P",O,M
F,F,"3-18 ASN, P",O,M
F,F,"3-18 ASN, P",O,M
F,F,"3-18 ASN, P",O,M
F,F,"3-18 ASN, P",,M
F,F,"3-18 ASN, P",,M
F,F,"3-18 ASN, P",,M
F,F,"3-18 ASN, P",,M
F,F,"3-18 ASN, P",,M
F,F,"3-18 ASN, P",,M
F,F,"3-18 ASN, P",,M
F,F,"3-18 ASN, P",,M
F,F,"3-18 ASN, P",,M
F,F,"3-18 ASN, P",,M
F,F,"3-18 ASN, P",,M
F,F,"3-18 ASN, P",,M
F,F,"3-18 ASN, P",,M
F,F,"3-18 ASN, P",,M
F,F,"3-18 ASN, P",,M
F,F,"3-18 ASN, P",,M
F,F,"3-18 ASN, P",,M
F,F,"3-18 ASN, P",,M
F,F,"3-18 ASN, P",,M
F,F,"3-18 ASN, P",,M
F,F,"3-18 ASN, P",,M
F,F,"3-18 ASN, P",,M
F,F,"3-18 ASN, P",,M
M,F,"3-18 ASN, P",,M
M,F,"3-18 ASN, P, 3-18 TESOL",,M
M,F,"3-18 ASN, P, PSFL",O,M
F,F,"3-18 ASN, P, S PSYCHOLOGY",L,M
F,F,"3-18 ASN, P, S RE",L,M
F,F,"3-18 ASN, P, S RE",L,M
F,F,"3-18 ASN, S ART",L,M
M,F,"3-18 ASN, S ART & DESIGN",I,M
F,F,"3-18 ASN, S ART & DESIGN",L,M
F,F,"3-18 ASN, S ART & DESIGN",L,M
F,F,"3-18 ASN, S ART & DESIGN",L,M
F,F,"3-18 ASN, S ART & DESIGN",L,M
F,F,"3-18 ASN, S ART & DESIGN",L,M
F,F,"3-18 ASN, S ART & DESIGN, P",F,M
F,F,"3-18 ASN, S ART & DESIGN, P",L,M
F,F,"3-18 ASN, S ART & DESIGN, P",L,M
F,F,"3-18 ASN, S ART & DESIGN, P",,M
F,F,"3-18 ASN, S BIOLOGY",I,M
F,F,"3-18 ASN, S BIOLOGY",L,M
F,F,"3-18 ASN, S BIOLOGY",L,M
F,F,"3-18 ASN, S BIOLOGY",L,M
F,F,"3-18 ASN, S BIOLOGY",L,M
F,F,"3-18 ASN, S BIOLOGY",L,M
F,F,"3-18 ASN, S BIOLOGY",L,M
F,F,"3-18 ASN, S BIOLOGY",L,M
F,F,"3-18 ASN, S BIOLOGY",L,M
M,F,"3-18 ASN, S BIOLOGY",L,M
M,F,"3-18 ASN, S BIOLOGY",L,M
F,F,"3-18 ASN, S BIOLOGY",O,M
F,F,"3-18 ASN, S BIOLOGY, P",,M
F,F,"3-18 ASN, S BIOLOGY, S CHEMISTRY",I,M
F,F,"3-18 ASN, S BIOLOGY, S CHEMISTRY",L,M
F,F,"3-18 ASN, S BIOLOGY, S CHEMISTRY",L,M
M,F,"3-18 ASN, S BIOLOGY, S CHEMISTRY, S GEOGRAPHY, S PHYSICS",L,M
F,F,"3-18 ASN, S BIOLOGY, S CHEMISTRY, S SCIENCE GENERAL",L,M
F,F,"3-18 ASN, S BIOLOGY, S GEOGRAPHY",I,M
F,F,"3-18 ASN, S BIOLOGY, S RE",L,M
F,F,"3-18 ASN, S BIOLOGY, S SCIENCE GENERAL",I,M
M,F,"3-18 ASN, S BIOLOGY, S SCIENCE GENERAL",I,M
F,F,"3-18 ASN, S BUSINESS",L,M
F,F,"3-18 ASN, S BUSINESS",L,M
F,F,"3-18 ASN, S BUSINESS",L,M
F,F,"3-18 ASN, S BUSINESS",L,M
F,F,"3-18 ASN, S BUSINESS, S COMPUTING",I,M
M,F,"3-18 ASN, S BUSINESS, S ECONOMICS",I,M
F,F,"3-18 ASN, S BUSINESS, S ECONOMICS",L,M
M,F,"3-18 ASN, S CHEMISTRY",I,M
M,F,"3-18 ASN, S CHEMISTRY",I,M
F,F,"3-18 ASN, S CHEMISTRY",L,M
F,F,"3-18 ASN, S CHEMISTRY",O,M
F,F,"3-18 ASN, S CHEMISTRY, S COMPUTING, S PHYSICS",N,M
F,F,"3-18 ASN, S CHEMISTRY, S MATHS",L,M
M,F,"3-18 ASN, S CHINESE, S TESOL",,M
F,F,"3-18 ASN, S CLASSICS, S GREEK, S HISTORY, S LATIN, S MODERN STUDIES, S PHILOSOPHY, S PSYCHOLOGY, S SOCIOLOGY",L,M
F,F,"3-18 ASN, S CLASSICS, S GREEK, S HISTORY, S LATIN, S PHILOSOPHY, S SOCIOLOGY",L,M
F,F,"3-18 ASN, S CLASSICS, S HISTORY",L,M
F,F,"3-18 ASN, S COMPUTING",L,M
F,F,"3-18 ASN, S COMPUTING",L,M
F,F,"3-18 ASN, S COMPUTING",L,M
M,F,"3-18 ASN, S COMPUTING",L,M
M,F,"3-18 ASN, S COMPUTING",O,M
F,F,"3-18 ASN, S COMPUTING, CROSS-SECTOR SEC - PRI PRIMARY",L,M
M,F,"3-18 ASN, S COMPUTING, P",I,M
F,F,"3-18 ASN, S COMPUTING, S MATHS",L,M
F,F,"3-18 ASN, S COMPUTING, S MATHS",L,M
F,F,"3-18 ASN, S DRAMA, P",L,M
F,F,"3-18 ASN, S DRAMA, S ENGLISH, P",L,M
F,F,"3-18 ASN, S DRAMA, S ENGLISH, S PSYCHOLOGY",O,M
